Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
WestRock LLC - Longview,2015,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1708008,1565128,135500,1427,5954,0,0,0,0,,4,"46.10361, -122.92167",,,POINT (-122.92167 46.10361)
Puget Sound Energy LDC Supplier - Bellevue,2020,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,PUGET HOLDINGS LLC,Bellevue,King,,5112527,0,5107252,2406,2868,0,0,0,0,,,,,,
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2013,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,31854,0,0,31854,0,0,0,0,0,,2,"47.405083, -120.167444",,,POINT (-120.167444 47.405083)
HF Sinclair Puget Sound Refinery LLC - Anacortes,2016,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,HollyFrontier Puget Sound Refining LLC,Anacortes,Skagit,Northwest Clean Air Agency,1980495,0,1969285,6794,4416,0,0,0,0,Assigned Emissions Level,4,"48.470931, -122.559161",,,POINT (-122.559161 48.470931)
Gas Transmission Northwest Compressor Station 7 -Prescott,2022,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Starbuck,Columbia,Ecology: Eastern Regional Office,121513,0,120168,1278,67,0,0,0,0,,3,"46.53558, -118.293441",,,POINT (-118.293441 46.53558)
"Nucor Steel Seattle, Inc, - Seattle",2012,Metals,Iron and Steel Production,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,124468,0,124425,20,24,0,0,0,0,,3,"47.569331, -122.367332",,,POINT (-122.367332 47.569331)
Georgia-Pacific Gypsum LLC - Tacoma,2023,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,49843,0,49792,23,28,0,0,0,0,,2,"47.269558, -122.394869",49843,Covered Entity,POINT (-122.394869 47.269558)
Naval Air Station Whidbey Island - Oak Harbor,2023,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,12779,0,12766,6,8,0,0,0,0,,1,"48.345281, -122.669741",,Reporter,POINT (-122.669741 48.345281)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2012,Wood Products,Other Wood Products,321219,Reconstituted Wood Product Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,68360,64638,2306,552,864,0,0,0,0,,2,"48.613175, -118.116106",,,POINT (-118.116106 48.613175)
Horn Rapids Sanitary Landfill - Richland,2020,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,27329,0,0,27329,0,0,0,0,0,,2,"46.346663, -119.348118",,,POINT (-119.348118 46.346663)
Frito Lay - Vancouver,2013,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,15212,0,15196,7,9,0,0,0,0,,1,"45.657037, -122.692",,,POINT (-122.692 45.657037)
Public Utility District No. 1 of Douglas County - East Wenatchee,2023,Power,COU,221111,"Electric power generation, hydroelectric",Public Utility District No. 1 of Dougals County,East Wenatchee,Douglas,,8115,,,,,,,,,,,,,Reporter,
Equilon Enterprises LLC dba Shell Oil Products US,2022,Supplier,Other Fuel Supplier,324110,Petroleum Refineries,TMR COMPANY LLC,Houston,Harris,,5053422,156562,4846658,5618,44585,0,0,0,0,,,,,,
"SGL Carbon, LLC - Moses Lake",2020,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,11827,0,11815,6,7,0,0,0,0,,1,"47.208993, -119.285437",,,POINT (-119.285437 47.208993)
Fairchild AFB - Spokane Co.,2022,Government,National Security,928110,National Security,US Government,Fairchild Air Force Base,Spokane,Spokane Regional Clean Air Agency,14935,0,14920,7,8,0,0,0,0,,1,"47.641332, -117.644832",,,POINT (-117.644832 47.641332)
Cowlitz County Headquarters Landfill - Castle Rock,2017,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,218522,11096,0,207386,40,0,0,0,0,,3,"46.246902, -122.772284",,,POINT (-122.772284 46.246902)
Inland Empire Paper Company - Spokane,2020,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,34724,17931,16537,43,215,0,0,0,0,,2,"47.688295, -117.279323",,,POINT (-117.279323 47.688295)
Avangrid Renewables LLC - Portland,2022,Power,Electrical Transmission and Distribution,221118,Other Electric Power Generation,"Avangrid, INC",Portland,Multnomah,,218869,,,,,,,,,,,,,,
Morgan Stanley Capital Group Inc. - New York,2022,Power,Marketer,,,Morgan Stanley,New York,New York,,199011,,,,,,,,,,,,,,
U.S. Department of Energy Hanford Site - Richland,2019,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14390,0,5233,9150,8,0,0,0,0,,1,"46.55069, -119.489007",,,POINT (-119.489007 46.55069)
DH Feeders - Eltopia,2015,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,15048,0,922,1094,13032,0,0,0,0,,1,"46.50919, -118.881203",,,POINT (-118.881203 46.50919)
"Solvay Chemicals, Inc. - Longview",2022,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,62123,0,62123,0,0,0,0,0,0,,2,"46.137218, -122.982847",,,POINT (-122.982847 46.137218)
Phillips 66 Ferndale Refinery - Ferndale,2017,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,748762,0,745076,1794,1892,0,0,0,0,,3,"48.830142, -122.692114",,,POINT (-122.692114 48.830142)
Graymont Western US. Inc. - Tacoma,2019,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,22,0,22,0,0,0,0,0,0,Last year reporting.  Facility shut down.,1,"47.271365, -122.397262",,,POINT (-122.397262 47.271365)
Hampton Lumber Mills Washington Inc. - Randle,2014,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,56286,55544,0,107,635,0,0,0,0,,2,"46.533743, -121.917906",,,POINT (-121.917906 46.533743)
CertainTeed Gypsum - Seattle,2014,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,36299,0,36262,17,20,0,0,0,0,,2,"47.548056, -122.336944",,,POINT (-122.336944 47.548056)
